iter	Passed	Remaining
271	1634	1370
272	1640	1364
273	1646	1358
274	1651	1351
275	1657	1345
276	1663	1338
277	1668	1332
278	1674	1326
279	1680	1320
280	1686	1314
281	1692	1308
282	1698	1302
283	1703	1295
284	1709	1289
285	1715	1283
286	1720	1277
287	1726	1270
288	1732	1264
289	1738	1258
290	1743	1252
291	1749	1245
292	1754	1239
293	1760	1233
294	1766	1227
295	1772	1221
296	1777	1215
297	1783	1208
298	1789	1202
299	1794	1196
300	1800	1190
301	1806	1184
302	1812	1178
303	1818	1172
304	1824	1166
305	1829	1160
306	1835	1154
307	1841	1147
308	1847	1141
309	1852	1135
310	1858	1129
311	1864	1123
312	1870	1117
313	1875	1111
314	1881	1105
315	1887	1098
316	1893	1092
317	1898	1086
318	1904	1080
319	1910	1074
320	1915	1068
321	1921	1062
322	1927	1056
323	1933	1050
324	1938	1044
325	1944	1037
326	1950	1031
327	1956	1026
328	1962	1020
329	1968	1013
330	1973	1007
331	1979	1001
332	1984	995
333	1990	989
334	1996	983
335	2002	977
336	2007	971
337	2013	965
338	2019	959
339	2024	952
340	2030	946
341	2035	940
342	2041	934
343	2047	928
344	2053	922
345	2058	916
346	2064	910
347	2070	904
348	2076	898
349	2081	892
350	2087	886
351	2093	880
352	2098	874
353	2104	867
354	2110	861
355	2115	855
356	2121	849
357	2127	843
358	2133	837
359	2138	831
360	2144	825
361	2150	819
362	2156	813
363	2161	807
364	2167	801
365	2172	795
366	2178	789
367	2184	783
368	2190	777
369	2196	771
370	2201	765
371	2207	759
372	2213	753
373	2218	747
374	2224	741
375	2231	735
376	2237	730
377	2244	724
378	2249	718
379	2255	712
380	2261	706
381	2267	700
382	2273	694
383	2278	688
384	2284	682
385	2290	676
386	2296	670
387	2303	664
388	2309	659
389	2315	653
390	2321	647
391	2327	641
392	2333	635
393	2338	629
394	2344	623
395	2350	617
396	2356	611
397	2362	605
398	2367	599
399	2373	593
400	2378	587
401	2384	581
402	2390	575
403	2395	569
404	2401	563
405	2406	557
406	2412	551
407	2417	545
408	2423	539
409	2429	533
410	2435	527
411	2440	521
412	2446	515
413	2452	509
414	2458	503
415	2464	497
416	2471	491
417	2476	485
418	2482	479
419	2488	474
420	2494	468
421	2500	462
422	2505	456
423	2511	450
424	2517	444
425	2523	438
426	2529	432
427	2535	426
428	2541	420
429	2546	414
430	2552	408
431	2558	402
432	2563	396
433	2569	390
434	2575	384
435	2581	378
436	2587	372
437	2592	366
438	2598	361
439	2603	355
440	2609	349
441	2616	343
442	2622	337
443	2628	331
444	2634	325
445	2639	319
446	2645	313
447	2651	307
448	2656	301
449	2662	295
450	2669	289
451	2674	284
452	2680	278
453	2686	272
454	2691	266
455	2697	260
456	2703	254
457	2709	248
458	2715	242
459	2720	236
460	2726	230
461	2732	224
462	2738	218
463	2744	212
464	2750	206
465	2755	201
466	2761	195
467	2767	189
468	2772	183
469	2778	177
470	2784	171
471	2790	165
472	2796	159
473	2802	153
474	2808	147
475	2813	141
476	2820	135
477	2825	130
478	2831	124
479	2837	118
480	2843	112
481	2849	106
482	2855	100
483	2861	94
484	2866	88
485	2872	82
486	2877	76
487	2883	70
488	2889	64
489	2894	59
490	2901	53
491	2906	47
492	2912	41
493	2918	35
494	2923	29
495	2929	23
496	2935	17
497	2941	11
498	2947	5
499	2952	0
