iter	MAE	RMSE
209	2.715905571	3.588452682
210	2.706668711	3.577296867
211	2.69605388	3.564294873
212	2.682504817	3.545526144
213	2.67457025	3.53552437
214	2.658503812	3.514073904
215	2.648432715	3.501584936
216	2.640799366	3.493187689
217	2.629493714	3.478451188
218	2.621874637	3.470539407
219	2.613461634	3.458892638
220	2.603722611	3.445366679
221	2.593814902	3.434349401
222	2.585048134	3.422545703
223	2.577302478	3.413333948
224	2.565382918	3.397090936
225	2.556284725	3.385066645
226	2.547130828	3.372934798
227	2.538563479	3.361399819
228	2.529819656	3.351963193
229	2.520836591	3.339062293
230	2.512229791	3.329032325
231	2.50254747	3.315233886
232	2.495317878	3.306068675
233	2.487419613	3.294147132
234	2.474447451	3.276197318
235	2.467584408	3.267528763
236	2.460105992	3.259175678
237	2.454643635	3.252746891
238	2.444318173	3.238887896
239	2.429510879	3.218364619
240	2.420938126	3.206450138
241	2.413948595	3.197819442
242	2.405815258	3.188137643
243	2.395402911	3.174668726
244	2.389177082	3.167608512
245	2.38170545	3.159962726
246	2.372832281	3.147095997
247	2.364592414	3.136221485
248	2.353114821	3.122810481
249	2.347751722	3.117234763
250	2.3388298	3.105404842
251	2.331038811	3.094672014
252	2.324756303	3.088382143
253	2.31804524	3.080185145
254	2.311225911	3.070425095
255	2.302662066	3.058078566
256	2.294343761	3.04753114
257	2.288111294	3.040821898
258	2.281344373	3.030493074
259	2.275054945	3.023066347
260	2.270649558	3.017671815
261	2.255941048	2.995800896
262	2.249058999	2.986499534
263	2.244408167	2.98018698
264	2.235924424	2.968276419
265	2.22782585	2.956773402
266	2.222863378	2.951806638
267	2.211237735	2.936132181
268	2.200414968	2.921616008
269	2.196031992	2.916976276
270	2.1907359	2.909760978
271	2.184702775	2.901132908
272	2.178098849	2.891059459
273	2.17240138	2.883997782
274	2.166491411	2.875906084
275	2.154637816	2.858386964
276	2.150041473	2.851370665
277	2.143778682	2.844192416
278	2.137344696	2.835834987
279	2.130815159	2.826005556
280	2.125761165	2.82013556
281	2.1209265	2.814352899
282	2.116057154	2.807221716
283	2.110935596	2.801764526
284	2.10647546	2.796191001
285	2.099832299	2.787578933
286	2.091277128	2.776683919
287	2.087001924	2.771080868
288	2.077895451	2.758270132
289	2.073560499	2.752023955
290	2.069324824	2.747750906
291	2.064490204	2.743112414
292	2.059425067	2.736844768
293	2.054075572	2.729569003
294	2.048078379	2.722549594
295	2.039505418	2.710383537
296	2.031356888	2.700132144
297	2.026952862	2.693903001
298	2.021852951	2.687006216
299	2.015028562	2.677276119
300	2.009329769	2.66983961
301	2.00109681	2.657581466
302	1.995610282	2.649997346
303	1.989704272	2.64266337
304	1.985972482	2.637954419
305	1.982293746	2.634342803
306	1.977108289	2.628157549
307	1.973392654	2.623335611
308	1.967158037	2.613863324
309	1.961076759	2.605820257
310	1.954348257	2.597823684
311	1.946573931	2.587119336
312	1.942309756	2.582282108
313	1.936936921	2.573728542
314	1.932402851	2.567802286
315	1.925972925	2.559773426
316	1.92116311	2.553016457
317	1.917799731	2.549203353
318	1.911369782	2.53984261
319	1.90783265	2.535659031
320	1.904016671	2.530049426
321	1.897276682	2.519591073
322	1.891870241	2.511386198
323	1.885714211	2.503232656
324	1.878109273	2.492275225
325	1.873123735	2.485497613
326	1.868819606	2.479502879
327	1.864634037	2.474192971
328	1.857813839	2.463252571
329	1.850407247	2.451803356
330	1.847173648	2.448151004
331	1.843254072	2.444127545
332	1.840255172	2.441149494
333	1.836066578	2.435684478
334	1.830686291	2.427691463
335	1.825938969	2.42246879
336	1.821958951	2.418022342
337	1.815983823	2.409032248
338	1.81060242	2.401529652
339	1.806814953	2.396790344
340	1.802107235	2.390716071
341	1.797933893	2.386080722
342	1.79238029	2.377572335
343	1.78765768	2.370074341
344	1.782907719	2.364277574
345	1.779432731	2.358908312
346	1.775552407	2.352806175
347	1.771078707	2.34697053
348	1.768021282	2.342674181
349	1.764637022	2.338069714
350	1.757846577	2.328014399
351	1.753880916	2.322976556
352	1.74878746	2.315076183
353	1.745895694	2.311651744
354	1.742519196	2.307005772
355	1.739204754	2.302098661
356	1.73614884	2.298323962
357	1.73341247	2.294823854
358	1.730049468	2.291074874
359	1.725765854	2.286046564
360	1.720476659	2.277884585
361	1.716013153	2.27164954
362	1.712199871	2.266756792
363	1.708899615	2.262858733
364	1.704831563	2.25791051
365	1.700249195	2.250849163
366	1.694994559	2.24290693
367	1.690839058	2.237028328
368	1.686925396	2.232521539
369	1.683729864	2.228200776
370	1.679139301	2.222299596
371	1.676460655	2.219088411
372	1.672164542	2.213346501
373	1.668802344	2.208755696
374	1.666472958	2.205404199
375	1.663496334	2.20083094
376	1.657865662	2.192795932
377	1.652470443	2.184596481
378	1.650000398	2.181530806
379	1.647860698	2.178535927
380	1.645396147	2.175749073
381	1.639210512	2.166375857
382	1.636009473	2.161879448
383	1.633357523	2.158783972
384	1.631081746	2.156053084
385	1.627658079	2.150940076
386	1.62336138	2.145235871
387	1.61889635	2.138457767
388	1.61661314	2.135992542
389	1.611957502	2.130174368
390	1.608536282	2.125105409
391	1.604565092	2.119631868
392	1.601338127	2.114727061
393	1.599170864	2.111954113
394	1.596029309	2.108463222
395	1.593517549	2.105355926
396	1.589245004	2.098794684
397	1.586764922	2.095580471
398	1.583811144	2.091609641
399	1.580468704	2.087118121
400	1.577434187	2.083589765
401	1.573717442	2.078324092
402	1.570266159	2.073873023
403	1.566792301	2.070096694
404	1.563276552	2.064825016
405	1.559849501	2.060596494
406	1.556124471	2.055330766
407	1.553227128	2.051697818
408	1.549259907	2.046427403
409	1.546836601	2.043070916
410	1.543224641	2.039069541
411	1.540940866	2.03602883
412	1.538492881	2.033295684
413	1.535507991	2.02919874
414	1.532502013	2.025907622
415	1.52952521	2.021756988
416	1.524490214	2.013969682
417	1.521951556	2.011077889
418	1.519601931	2.008181109
419	1.51600158	2.002345871
420	1.513892043	1.998836986
421	1.511027017	1.995396664
422	1.509058869	1.993201454
423	1.506399289	1.989413563
424	1.503383755	1.985821961
425	1.499509322	1.979799549
426	1.495976511	1.97540768
427	1.491990137	1.969907744
428	1.489936491	1.967702753
429	1.488005313	1.96541094
430	1.483781884	1.95883065
431	1.48152657	1.955922346
432	1.479395547	1.953168967
433	1.476595081	1.949304536
434	1.473561858	1.945150668
435	1.471371888	1.942029076
436	1.468902484	1.939458146
437	1.465562611	1.93408611
438	1.462530137	1.930180904
439	1.458941427	1.925781984
440	1.455990856	1.921090238
441	1.45093548	1.913430613
442	1.446994441	1.90790258
443	1.444047455	1.90407378
444	1.441818383	1.901297223
445	1.439724133	1.898798725
446	1.436192889	1.893693267
447	1.433815547	1.890709518
448	1.431767563	1.88824223
449	1.429066206	1.884086411
450	1.426899705	1.880257759
451	1.423616989	1.875742048
452	1.421099529	1.872983305
453	1.417800508	1.868363586
454	1.415533398	1.865731619
455	1.412103091	1.860549306
456	1.408995777	1.856489312
457	1.405701885	1.851724431
458	1.403240962	1.848987524
459	1.40018351	1.844785832
460	1.397315258	1.840941551
461	1.39511372	1.837550827
462	1.392611246	1.834614647
463	1.390414438	1.831701425
464	1.388154446	1.829397252
465	1.385921516	1.826903114
466	1.382958282	1.823117461
467	1.3800718	1.819372037
468	1.377780456	1.816181009
469	1.375491491	1.813260148
470	1.371823108	1.807924723
471	1.369426875	1.804664979
472	1.3677625	1.802851772
473	1.363050031	1.79549773
474	1.360733022	1.792589258
475	1.359220218	1.790233202
476	1.35583293	1.785333153
477	1.353510555	1.782456756
478	1.350066458	1.777445983
479	1.348008726	1.775135073
480	1.345190635	1.771064826
481	1.341957156	1.76699211
482	1.339112828	1.763042627
483	1.337202901	1.759975014
484	1.335032115	1.757417202
485	1.332074733	1.753769028
486	1.329757342	1.750342453
487	1.327115767	1.746919156
488	1.32376478	1.74196239
489	1.321609225	1.739597709
490	1.319210737	1.736286245
491	1.316902488	1.732903134
492	1.314320433	1.730166489
493	1.312792611	1.728229418
494	1.310538117	1.724737286
495	1.308023365	1.72122133
496	1.305402842	1.717746229
497	1.30329389	1.714533334
498	1.301136447	1.711157606
499	1.299166791	1.709061513
